time,condition1,
0,0.0,
1,4.07,
2,-5.332800000000037,
3,-18.700261880957104,
4,-34.23284382291727,
5,-50.241125744698785,
6,-61.67561283168563,
7,-69.47598686505903,
8,-74.50895607074938,
9,-80.39651051178174,
10,-82.67562904106266,
11,-86.1258770458635,
12,-106.10405292098743,
13,-122.16420254397471,
14,-141.7788868459818,
15,-161.7278031887352,
16,-177.92942164235424,
17,-194.5494688867757,
18,-213.74265085242715,
19,-229.2422174947146,
20,-248.1163093266094,
21,-266.1623456773863,
22,-281.2215895329397,
23,-299.0491896176782,
24,-314.7587924355727,
25,-329.92514624830704,
26,-342.0464296117692,
27,-354.5372449851004,
28,-364.3775146601023,
29,-374.1382574068253,
30,-383.2692748150499,
31,-394.5319054323894,
32,-404.0637868303977,
33,-414.56097504337254,
34,-422.4817831868488,
35,-429.0017280167083,
36,-447.2792464756658,
37,-463.210436679701,
38,-483.5170122953847,
39,-502.2291901866895,
40,-520.8478695760091,
41,-538.6251857009731,
42,-552.6279867809982,
43,-567.4346322969591,
44,-579.470712767503,
45,-590.9834853915015,
46,-604.0289514360072,
47,-617.8511638399342,
48,-636.8767285471922,
49,-653.5891482352367,
50,-674.0204139117532,
51,-692.1356213679524,
52,-707.9235830519063,
53,-723.6611237596637,
54,-741.0623961659962,
55,-758.5742203008958,
56,-774.7524112799672,
57,-791.7863005567393,
58,-808.9375739531529,
59,-822.7842421288598,
60,-841.4851715949494,
61,-856.3189661178506,
62,-872.6505091755606,
63,-889.7138075305586,
64,-902.1360750101292,
65,-921.4313456532016,
66,-937.8851497611594,
67,-953.1109610200281,
68,-970.0952663955454,
69,-987.3171045535076,
70,-1006.904294060381,
71,-1021.0283485996313,
72,-1034.072348144352,
73,-1050.8661778788503,
74,-1063.1644997119888,
75,-1074.4734458979112,
76,-1085.4886532218616,
77,-1099.4647466094389,
78,-1115.015434081022,
79,-1129.771421256606,
80,-1148.3757805974824,
81,-1163.85252367378,
82,-1182.4062911016597,
83,-1199.384820504562,
84,-1212.1276745671814,
85,-1228.3657569669288,
86,-1244.980148610631,
87,-1259.7347797846217,
88,-1271.9595854595232,
89,-1284.6373406641346,
90,-1297.7531129963763,
91,-1314.1280570726803,
92,-1325.2421907047037,
93,-1343.0576267087733,
94,-1359.1250520806807,
95,-1371.461121245692,
96,-1386.099036527983,
97,-1406.9446608204078,
98,-1421.5472984642367,
99,-1439.2447620662729,
100,-1453.8089421237999,
101,-1466.020445766884,
102,-1484.9321374670017,
103,-1498.1363429590785,
104,-1511.845169274757,
105,-1527.5423270975623,
106,-1539.9780951493885,
107,-1554.3889489075402,
108,-1569.263764958776,
109,-1580.2593299244293,
110,-1595.3483224111862,
111,-1610.8767400094512,
112,-1621.914729112402,
113,-1638.3305498073928,
114,-1651.6993615350862,
115,-1662.7843938158644,
116,-1672.3227828531699,
117,-1681.6995042796739,
118,-1692.9201530131852,
119,-1709.9083107441445,
120,-1727.628639445766,
121,-1744.564852070997,
122,-1761.4852720156894,
123,-1778.3902725271814,
124,-1796.0581502277785,
125,-1811.3770659771908,
126,-1830.3153290279529,
127,-1848.191595876718,
128,-1861.2298281501207,
129,-1874.821772140502,
130,-1888.9547474268622,
131,-1904.3593289627336,
132,-1920.2695482781708,
133,-1936.6740851243778,
134,-1955.7410432840948,
135,-1970.9224951563865,
136,-1984.450801924645,
137,-1996.361901525913,
138,-2014.7528570197683,
139,-2033.1381154638034,
140,-2051.5122558713774,
141,-2069.094269613396,
142,-2087.446395206463,
143,-2105.788030703791,
144,-2124.1194012504657,
145,-2144.788424865489,
146,-2158.4004217118527,
147,-2176.7010416919697,
148,-2194.208826464429,
149,-2207.7889722826235,
150,-2222.9267989223054,
151,-2238.0551477697063,
152,-2250.825665182051,
153,-2269.064909953183,
154,-2284.947944419692,
155,-2304.734870323885,
156,-2322.71451970079,
157,-2340.4665785792517,
158,-2359.5309924590906,
159,-2376.0680208875333,
160,-2392.399620391398,
161,-2403.254348479064,
162,-2419.0916665506925,
163,-2436.4914628389174,
164,-2455.452311162329,
165,-2472.837316186382,
166,-2488.6449581486972,
167,-2507.584902119991,
168,-2525.52038885627,
169,-2541.6934182806494,
170,-2556.134910696851,
171,-2570.40847878263,
172,-2587.566130122332,
173,-2604.5265670788185,
174,-2617.938114787835,
175,-2634.4887219141224,
176,-2646.3184375823016,
177,-2662.855441952606,
178,-2680.171116600087,
179,-2694.3392896864125,
180,-2711.6422046948683,
181,-2731.294958491118,
182,-2748.586601801894,
183,-2766.6585215436726,
184,-2780.7941322347206,
185,-2798.854486734858,
186,-2813.764826722501,
187,-2832.600297018371,
188,-2844.353269649027,
189,-2859.2476165081002,
190,-2875.7083253982973,
191,-2885.091348343314,
192,-2899.186307666422,
193,-2914.846140054021,
194,-2932.0703234614866,
195,-2947.7201243427694,
196,-2965.719551719734,
197,-2986.0701417556575,
198,-2999.348300078231,
199,-3016.54959956552,
200,-3030.6046251301123,
201,-3042.299988031644,
202,-3057.132630053571,
203,-3075.8839795129747,
204,-3095.2331499441625,
205,-3109.732639163371,
206,-3125.638471463883,
207,-3142.930363051258,
208,-3155.4618729545177,
209,-3173.209235082221,
210,-3185.4784611379087,
211,-3199.1419020245276,
212,-3215.6827941353886,
213,-3231.3211732445857,
214,-3243.0918465449954,
215,-3260.6815320605574,
216,-3280.2169419892252,
217,-3298.1821594302373,
218,-3311.426579452908,
219,-3327.811868750422,
220,-3340.263343197442,
221,-3358.9974617905514,
222,-3375.9994279651874,
223,-3390.513864851655,
224,-3407.999744540319,
225,-3421.4724554692016,
226,-3435.5947498968003,
227,-3452.652829041117,
228,-3468.8003534502554,
229,-3475.7082884610554,
230,-3487.08630739557,
231,-3502.1248795303645,
232,-3517.0343652090633,
233,-3533.3070251645854,
234,-3546.472668847009,
235,-3559.5267392778874,
236,-3573.9423861276337,
237,-3586.7713395074916,
238,-3600.9523591859847,
239,-3612.108522432713,
240,-3630.852732480059,
241,-3646.459605216185,
242,-3660.493158593079,
243,-3682.37019595468,
244,-3697.9661270337515,
245,-3711.202862732324,
246,-3722.7682701371405,
247,-3741.250693519421,
248,-3758.033078893972,
249,-3774.681205185527,
250,-3788.8878447108514,
251,-3805.281403469074,
252,-3823.8359496115777,
253,-3838.441792465952,
254,-3853.6906181551144,
255,-3868.0657330631902,
